tweet_id,tweet_sentiment,tweet_content,clean_text,token,token count,token deep clean
637641175948763136,neutral,"@SeeMonterey LOST - Sony cell phone with holiday photos. Early Fri morning, Montreal transit plaza or no. 13 bus to airport. REWARD! Plz RT."," LOST - Sony cell phone with holiday photos. Early Fri morning, Montreal transit plaza or no. 13 bus to airport. REWARD! Plz RT.","['LOST', 'Sony', 'cell', 'phone', 'with', 'holiday', 'photos', 'Early', 'Fri', 'morning', 'Montreal', 'transit', 'plaza', 'or', 'no', 'bus', 'to', 'airport', 'REWARD', 'Plz', 'RT']",21,"['lost', 'soni', 'cell', 'phone', 'holiday', 'photo', 'earli', 'fri', 'morn', 'montreal', 'transit', 'plaza', 'bu', 'airport', 'reward', 'plz', 'RT']"
637651487762554881,neutral,"@PersonaSoda well yeah, that's third parties. Sony itself isn't putting out actual games for it. It's got 1-2 yrs of 3rd party support left."," well yeah, that's third parties. Sony itself isn't putting out actual games for it. It's got 1-2 yrs of 3rd party support left.","['well', 'yeah', 'third', 'parties', 'Sony', 'itself', 'putting', 'out', 'actual', 'games', 'for', 'it', 'got', 'yrs', 'of', 'party', 'support', 'left']",18,"['well', 'yeah', 'third', 'parti', 'soni', 'put', 'actual', 'game', 'got', 'yr', 'parti', 'support', 'left']"
637666734300905472,negative,Sony rewards app is like a lot of 19 y.o female singers and a non retro sale. 2nd one with no info,Sony rewards app is like a lot of 19 y.o female singers and a non retro sale. 2nd one with no info,"['Sony', 'rewards', 'app', 'is', 'like', 'a', 'lot', 'of', 'y', 'o', 'female', 'singers', 'and', 'a', 'non', 'retro', 'sale', 'one', 'with', 'no', 'info']",21,"['soni', 'reward', 'app', 'like', 'lot', 'femal', 'singer', 'non', 'retro', 'sale', 'one', 'info']"
637668142110654468,neutral,"@fakethom Have android tab and don't use phone much, in fact very little. May go the Sony route then:-)"," Have android tab and don't use phone much, in fact very little. May go the Sony route then-)","['Have', 'android', 'tab', 'and', 'use', 'phone', 'much', 'in', 'fact', 'very', 'little', 'May', 'go', 'the', 'Sony', 'route', 'then']",17,"['have', 'android', 'tab', 'use', 'phone', 'much', 'fact', 'littl', 'may', 'go', 'soni', 'rout']"
637708370129125377,positive,Finally I get my ps4 back I sent it to Sony cause my HDMI was mess up now I can play MG's Tuesday yeaaaaa buddy,Finally I get my ps4 back I sent it to Sony cause my HDMI was mess up now I can play MG's Tuesday yeaaaaa buddy,"['Finally', 'I', 'get', 'my', 'back', 'I', 'sent', 'it', 'to', 'Sony', 'cause', 'my', 'HDMI', 'was', 'mess', 'up', 'now', 'I', 'can', 'play', 'Tuesday', 'yeaaaaa', 'buddy']",23,"['final', 'I', 'get', 'back', 'I', 'sent', 'soni', 'caus', 'hdmi', 'mess', 'I', 'play', 'tuesday', 'yeaaaaa', 'buddi']"
637807521500020737,negative,"@AskPlayStation Why won't u guys help me out?! Im calling Sony tomorrow! I want help but the ""support team"" 3 hours of tweeting and nothing"," Why won't u guys help me out?! Im calling Sony tomorrow! I want help but the ""support team"" 3 hours of tweeting and nothing","['Why', 'u', 'guys', 'help', 'me', 'out', 'Im', 'calling', 'Sony', 'tomorrow', 'I', 'want', 'help', 'but', 'the', 'support', 'team', 'hours', 'of', 'tweeting', 'and', 'nothing']",22,"['whi', 'u', 'guy', 'help', 'Im', 'call', 'soni', 'tomorrow', 'I', 'want', 'help', 'support', 'team', 'hour', 'tweet', 'noth']"
637857585652076544,neutral,Sony's 1st teaser package for the launch of the original Playstation seems to feature a dominatrix? https://t.co/xbisCRkPL4 #MistressSophia,Sony's 1st teaser package for the launch of the original Playstation seems to feature a dominatrix?  MistressSophia,"['teaser', 'package', 'for', 'the', 'launch', 'of', 'the', 'original', 'Playstation', 'seems', 'to', 'feature', 'a', 'dominatrix', 'MistressSophia']",15,"['teaser', 'packag', 'launch', 'origin', 'playstat', 'seem', 'featur', 'dominatrix', 'mistresssophia']"
637859860017647616,neutral,#tv Ind vs SL 3rd Test Day 3: Cricket live score and Sony Six live streaming info: Watch the live teleca... http://t.co/mUlHw4cN00 #Sony,tv Ind vs SL 3rd Test Day 3 Cricket live score and Sony Six live streaming info Watch the live teleca...  Sony,"['tv', 'Ind', 'vs', 'SL', 'Test', 'Day', 'Cricket', 'live', 'score', 'and', 'Sony', 'Six', 'live', 'streaming', 'info', 'Watch', 'the', 'live', 'teleca', 'Sony']",20,"['tv', 'ind', 'vs', 'SL', 'test', 'day', 'cricket', 'live', 'score', 'soni', 'six', 'live', 'stream', 'info', 'watch', 'live', 'teleca', 'soni']"
637923877423742977,neutral,"@TruthInsider @bertymufc @gamerxone720 @PNF4LYFE @Yanks2013 @VirtuaMe Lol it's all about Sony Sony Sony, if Sony gave Bj's u be the 1st","      Lol it's all about Sony Sony Sony, if Sony gave Bj's u be the 1st","['Lol', 'all', 'about', 'Sony', 'Sony', 'Sony', 'if', 'Sony', 'gave', 'u', 'be', 'the']",12,"['lol', 'soni', 'soni', 'soni', 'soni', 'gave', 'u']"
638045103861465088,neutral,"@greencapt Official reason, because the game has to be on our region store and sony wont have it up til tuesday"," Official reason, because the game has to be on our region store and sony wont have it up til tuesday","['Official', 'reason', 'because', 'the', 'game', 'has', 'to', 'be', 'on', 'our', 'region', 'store', 'and', 'sony', 'wont', 'have', 'it', 'up', 'til', 'tuesday']",20,"['offici', 'reason', 'game', 'region', 'store', 'soni', 'wont', 'til', 'tuesday']"
